Time;Type;CurrentPose;TargetPose;Result
Sat Sep 29 14:44:13 2018;post_grasp;(0.520816456622,0.0786684564841,0.301790395081)/(-0.000263286978936,0.00156312783945,0.000638506136012,0.99999853981);(0.0,0.0,0.0)/(0.0,0.0,0.0,0.0);success
Sat Sep 29 14:44:19 2018;drop_pose;(0.315746879066,-0.061489800024,0.213365227191)/(0.000561529143721,0.00517719549753,-0.00317269487128,0.999981407497);(0.391812235117,0.198447778821,0.265)/(0.0,0.0,0.0,1.0);success
Sat Sep 29 14:44:40 2018;grasp_pose;(0.555665954003,0.210030036972,0.170062808563)/(-0.00140840597091,0.00767039431952,-0.000935479294396,0.999969152685);(0.631812930107,0.472442418337,0.225)/(0.0,0.0,0.0,1.0);success
Sat Sep 29 14:44:42 2018;post_grasp;(0.555782750213,0.209693483416,0.300490024609)/(0.000308265710504,0.00583316129467,-0.00034990949577,0.999982878236);(0.0,0.0,0.0)/(0.0,0.0,0.0,0.0);success
Sat Sep 29 14:44:57 2018;drop_pose;(0.241526331811,0.0516642385412,0.214155824547)/(-0.000584047762935,-0.000552548853464,-0.00459469727348,0.999989121108);(0.316255897284,0.312247335911,0.265)/(0.0,0.0,0.0,1.0);success
Sat Sep 29 14:45:23 2018;grasp_pose;(0.388229373188,0.165118506419,0.1724079803)/(-0.00132599579061,0.00466044871676,-0.00237910927366,0.99998543079);(0.463747054338,0.427058935165,0.225)/(0.0,0.0,0.0,1.0);success
Sat Sep 29 14:45:25 2018;post_grasp;(0.388307931591,0.165013686974,0.302783746655)/(-0.00125853086499,0.00381595981239,0.000608481577781,0.999991742116);(0.0,0.0,0.0)/(0.0,0.0,0.0,0.0);success
Sat Sep 29 14:45:30 2018;drop_pose;(0.463538296925,-0.106373010069,0.211404531554)/(0.000749638659962,0.00633236584045,-0.00647621767509,0.999958698042);(0.540450453758,0.156754419208,0.265)/(0.0,0.0,0.0,1.0);success
Sat Sep 29 14:45:41 2018;grasp_pose;(0.269801786711,0.0421403104699,0.17381728383)/(0.00236412624109,0.00461054887763,-0.00174499000812,0.999985054266);(0.345345616341,0.301882505417,0.225)/(0.0,0.0,0.0,1.0);success
Sat Sep 29 14:45:51 2018;post_grasp;(0.268388462446,0.0423216532046,0.303608716831)/(0.00167737128696,0.0080044187944,-0.00286225446429,0.999962460898);(0.0,0.0,0.0)/(0.0,0.0,0.0,0.0);success
Sat Sep 29 14:45:56 2018;drop_pose;(0.433778473997,0.17704559098,0.213006180765)/(-0.00060516341689,-0.00035583533466,0.00398984686271,0.999991794107);(0.508255243301,0.437237411737,0.265)/(0.0,0.0,0.0,1.0);success
Sat Sep 29 14:46:12 2018;grasp_pose;(0.365835373872,-0.0478611428523,0.173660125916)/(0.000683971760879,0.00385652182643,-0.00244207394277,0.999989347792);(0.44180637598,0.21178932488,0.225)/(0.0,0.0,0.0,1.0);success
Sat Sep 29 14:46:14 2018;post_grasp;(0.366082651117,-0.0477750612968,0.303593232421)/(-0.000304534316514,0.00325539163583,-2.20931697747e-05,0.999994654584);(0.0,0.0,0.0)/(0.0,0.0,0.0,0.0);success
Sat Sep 29 14:46:19 2018;drop_pose;(0.464989143747,0.189441658413,0.212463658602)/(0.000307337405229,-0.000699543749102,0.00429923469912,0.999990466336);(0.539854049683,0.447190344334,0.265)/(0.0,0.0,0.0,1.0);success
Sat Sep 29 14:46:30 2018;grasp_pose;(0.609899653408,-0.14678171235,0.170481006474)/(0.00289619974946,0.00324752353063,-0.00122452829979,0.999989783022);(0.68583804369,0.113030441105,0.225)/(0.0,0.0,0.0,1.0);success
Sat Sep 29 14:46:32 2018;post_grasp;(0.610014264472,-0.146870858574,0.300510263097)/(0.00164336109994,0.00112144314299,-0.000467422544549,0.999997911621);(0.0,0.0,0.0)/(0.0,0.0,0.0,0.0);success
Sat Sep 29 14:46:37 2018;drop_pose;(0.600284523479,-0.125980303836,0.21030052579)/(0.00123592364311,0.00669799011128,-0.00013409997958,0.99997679545);(0.676175117493,0.13416787982,0.265)/(0.0,0.0,0.0,1.0);success
Sat Sep 29 14:46:57 2018;grasp_pose;(0.379033548022,-0.252812053298,0.173457297756)/(0.00124884230274,0.00140639937075,0.00305343411956,0.999993569466);(0.453635215759,0.00674423202872,0.225)/(0.0,0.0,0.0,1.0);success
Sat Sep 29 14:46:59 2018;post_grasp;(0.378873397182,-0.252981897325,0.303176057568)/(0.000712543652387,0.00155395999256,0.00511718906057,0.999985445827);(0.0,0.0,0.0)/(0.0,0.0,0.0,0.0);success
Sat Sep 29 14:47:05 2018;drop_pose;(0.24509180239,-0.117134715566,0.214420900272)/(0.00131517014416,0.00416491116288,-0.000289054551606,0.999990420099);(0.32091075182,0.142867967486,0.265)/(0.0,0.0,0.0,1.0);success
Sat Sep 29 14:47:16 2018;grasp_pose;(0.594672071823,-0.041741255528,0.170724396115)/(0.00198099099639,0.00404364090504,0.000375286245708,0.999989791849);(0.670347929001,0.217504873872,0.225)/(0.0,0.0,0.0,1.0);success
Sat Sep 29 14:47:18 2018;post_grasp;(0.594638096324,-0.042261966144,0.301230344441)/(0.000352047018572,0.00278373548063,0.00272533667804,0.999992349681);(0.0,0.0,0.0)/(0.0,0.0,0.0,0.0);success
Sat Sep 29 14:47:23 2018;drop_pose;(0.539028180188,0.287316120495,0.209658159909)/(-0.00302912528234,0.00537447531956,0.00705000767443,0.999956117441);(0.615826368332,0.54677683115,0.265)/(0.0,0.0,0.0,1.0);success
Sat Sep 29 14:47:40 2018;grasp_pose;(0.190635456155,-0.0620690935914,0.174560687429)/(9.69405614996e-05,-0.00130502772696,-0.00237757586742,0.999996317312);(0.265867054462,0.197914779186,0.225)/(0.0,0.0,0.0,1.0);success
Sat Sep 29 14:47:42 2018;post_grasp;(0.190935935726,-0.0620527609053,0.304321951906)/(-0.000185143181661,-0.00213907574375,0.000512559443963,0.999997563677);(0.0,0.0,0.0)/(0.0,0.0,0.0,0.0);success
Sat Sep 29 14:47:50 2018;drop_pose;(0.616381820981,0.131874280192,0.211227446497)/(-0.000597073984468,7.57647072803e-06,0.0011515683267,0.999999158667);(0.690923035145,0.391849607229,0.265)/(0.0,0.0,0.0,1.0);success
Sat Sep 29 14:48:14 2018;grasp_pose;(0.391061579595,-0.174661279331,0.172631783089)/(0.00126494317198,0.00473337512343,-0.00201283513854,0.999985971688);(0.46779614687,0.0867325663567,0.225)/(0.0,0.0,0.0,1.0);success
Sat Sep 29 14:48:16 2018;post_grasp;(0.391226467987,-0.174790306396,0.302534032611)/(0.000819231942856,0.00207969022496,-0.00267698789672,0.999993918723);(0.0,0.0,0.0)/(0.0,0.0,0.0,0.0);success
